'Risk control','Land price','Prob change','Error','Farmer'
0.5,50000.0,0.1,2949.0,2996.5
0.5,50000.0,0.30000000000000004,3042.5,2182.5
0.5,50000.0,0.5,3083.0,1862.0
0.5,100000.0,0.1,2995.0,2898.5
0.5,100000.0,0.30000000000000004,3046.0,2104.5
0.5,100000.0,0.5,3066.0,1804.5
0.5,150000.0,0.1,3030.5,2862.5
0.5,150000.0,0.30000000000000004,3038.0,2061.0
0.5,150000.0,0.5,3062.5,1771.0
0.5,200000.0,0.1,3027.0,2870.0
0.5,200000.0,0.30000000000000004,3044.5,2012.0
0.5,200000.0,0.5,3042.0,1753.0
1.0,50000.0,0.1,2934.5,2870.5
1.0,50000.0,0.30000000000000004,2999.0,2062.0
1.0,50000.0,0.5,3052.0,1754.5
1.0,100000.0,0.1,2963.5,2769.0
1.0,100000.0,0.30000000000000004,2998.5,1944.0
1.0,100000.0,0.5,2999.5,1637.0
1.0,150000.0,0.1,3004.5,2710.0
1.0,150000.0,0.30000000000000004,3014.5,1896.5
1.0,150000.0,0.5,2987.0,1581.5
1.0,200000.0,0.1,3008.5,2672.0
1.0,200000.0,0.30000000000000004,3027.0,1878.5
1.0,200000.0,0.5,2990.0,1559.0
1.5,50000.0,0.1,2968.0,2413.5
1.5,50000.0,0.30000000000000004,2958.5,1907.5
1.5,50000.0,0.5,2996.0,1723.5
1.5,100000.0,0.1,2973.0,2256.0
1.5,100000.0,0.30000000000000004,2969.5,1728.5
1.5,100000.0,0.5,2989.5,1621.5
1.5,150000.0,0.1,2981.5,2164.5
1.5,150000.0,0.30000000000000004,2992.0,1654.5
1.5,150000.0,0.5,2980.0,1617.0
1.5,200000.0,0.1,3000.5,2162.5
1.5,200000.0,0.30000000000000004,2984.0,1630.0
1.5,200000.0,0.5,2990.0,1568.0
2.0,50000.0,0.1,3020.5,2017.5
2.0,50000.0,0.30000000000000004,3069.5,1316.0
